File,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
calgary,1994-12-22,59,6,14,14,10,6,27,3,90,82,45,44,135,80,74,62,54,12,18,14,5,18,15,21
calgary,1994-12-23,41,8,16,39,9,16,26,1,11,0,20,40,12,30,21,35,23,25,30,11,2,5,23,13
calgary,1994-12-24,3,11,3,1,0,1,0,0,0,1,6,20,26,6,13,5,9,5,1,1,7,3,0,1
calgary,1994-12-25,2,2,0,2,1,0,0,0,0,0,2,5,41,190,36,1,5,27,9,10,0,6,25,23
calgary,1994-12-26,9,5,0,1,12,7,3,2,26,6,27,10,1,43,43,14,1,3,4,31,11,16,2,3
calgary,1994-12-27,0,4,0,5,0,0,11,21,43,7,23,16,21,55,33,90,12,20,15,12,12,37,15,61
calgary,1994-12-28,10,10,14,0,3,0,4,1,12,13,10,10,33,29,18,53,16,35,12,10,9,40,39,84
calgary,1994-12-29,26,16,8,9,1,26,28,25,31,1,0,5,21,13,3,24,9,0,4,13,10,7,4,17
calgary,1994-12-30,11,2,30,8,0,0,26,25,40,16,11,4,10,51,5,14,15,4,21,12,7,1,13,10
calgary,1994-12-31,3,4,11,16,0,9,6,8,5,12,3,14,24,7,24,20,17,3,38,10,27,19,3,18
calgary,1995-01-01,3,12,8,4,2,4,18,7,1,0,1,15,8,11,24,4,10,2,9,35,65,1,6,1
calgary,1995-01-02,10,11,6,20,2,22,2,3,15,2,17,26,38,14,64,41,12,14,30,37,7,11,74,13
calgary,1995-01-03,2,0,8,30,12,9,11,7,21,25,69,110,132,110,94,83,59,80,29,67,8,13,17,20
calgary,1995-01-04,23,15,8,3,14,33,32,25,23,52,34,23,115,69,62,28,53,28,25,39,74,17,32,58
calgary,1995-01-05,11,38,4,3,4,19,17,20,40,0,57,56,85,79,186,30,142,41,14,28,24,117,86,3
calgary,1995-01-06,26,23,5,5,19,1,14,25,36,24,67,54,33,40,21,7,22,35,37,18,5,28,39,3
calgary,1995-01-07,40,8,0,0,0,2,1,0,4,4,3,23,12,16,12,40,17,17,16,24,10,36,40,21
calgary,1995-01-08,15,6,0,2,0,10,0,1,0,6,0,0,2,83,7,24,5,29,56,29,19,18,134,4
