Date,Day,File,Cluster
2015-08-26,Wednesday,retailrocket,1
2015-08-27,Thursday,retailrocket,1
2015-08-28,Friday,retailrocket,1
2015-08-29,Saturday,retailrocket,1
2015-08-30,Sunday,retailrocket,1
2015-08-31,Monday,retailrocket,1
2015-09-01,Tuesday,retailrocket,1
2015-09-02,Wednesday,retailrocket,1
2015-09-03,Thursday,retailrocket,1
2015-09-04,Friday,retailrocket,1
2015-09-05,Saturday,retailrocket,1
2015-09-06,Sunday,retailrocket,1
2015-09-07,Monday,retailrocket,1
2015-09-08,Tuesday,retailrocket,1
2015-09-09,Wednesday,retailrocket,1
